family,training_mode,seed,epoch,checkpoint_sha256,raw_paired_target_mse,raw_paired_to_unrelated_ratio,raw_global_variance,raw_effective_rank,projected_paired_target_mse,projected_paired_to_unrelated_ratio,projected_global_variance,projected_effective_rank,passable_history_accuracy,blocked_history_accuracy,correct_rule_switch_rate,prediction_pair_mse,difference_alignment_cosine,encoder_parameter_drift,projector_parameter_drift,predictor_parameter_drift
original,original_h3,3072,0,7d141b86cca49145444a69bff89c71ede69e8cf8252bfb933e656c3e2e962b54,0.04898179067533842,1.9402879610215729,0.014094199031377572,2.5676063833060394,0.6725714568569148,1.8927239482114047,0.20241386472766626,2.859805587175274,0.875,0.125,0.0,0.0006978153953116271,0.03200037082396946,0.0,0.0,0.0
tiny_joint,encoder_predictor_joint_update,3072,1,16fba0b7839bdcfce9c20e466fad1ae2515c71789764d72de5c6f480d946c645,0.0362184937854676,1.878554233362603,0.00907136790890245,1.6431240007349985,0.9723163816667026,1.7762751722295236,0.2702771075215524,2.1272132912011936,0.125,0.875,0.0,0.00012056059648243937,0.14559428702140573,0.004675612599013988,0.003315872480191951,0.005724359874160052
tiny_joint,encoder_predictor_joint_update,3072,2,d09748ca6d02f0e8f66e5e3b4aa49334f0d1f4e8a8b112b14c98993fde6995fe,0.024139516672851694,1.5940092144834508,0.0072826366856031275,2.0214228191422134,0.7105409347624075,0.9359482880413511,0.3717463908512116,2.967345735025027,0.5,0.5,0.0,4.6965080389830435e-05,0.03390580271214358,0.007696034911524048,0.0053770924524425955,0.010164887683406416
tiny_joint,encoder_predictor_joint_update,3072,4,5aa02045a5a679e28c70f3445a40a2c809dc5464defed91460701be7833d2b3e,0.018483492493481028,0.8613227102752506,0.010530923171444379,2.385537878510488,0.7955153464306869,0.4751151129616411,0.8016831653456871,2.6897912483437363,0.0,1.0,0.0,2.0455737963056663e-05,0.007760704557271254,0.010483936606784601,0.00793750300494447,0.014955620810438431
tiny_joint,encoder_predictor_joint_update,3072,8,8706687497dd0ed7b3a467f5141b3ed735fee43e0e357457efc67ad881c8e7cf,0.006464318526511607,0.2762516909354204,0.010775127088856345,2.3361853013142357,0.3001181458024256,0.1404974031771354,0.9718844070034395,2.2762216796532315,0.5,0.5,0.0,2.0729982353685926e-05,-0.13464336592411388,0.013254903859072874,0.010408436115536155,0.019067578204491422
tiny_joint,encoder_predictor_joint_update,3072,16,54b9960ec259e724f1995e276bc85babc11a34ecaefdcffbb507b7c8bbb99d65,0.0037608647415411814,0.13678975375652888,0.01293094123088731,2.11715361036187,0.1106347106699063,0.05475235117326522,0.9172821404962029,1.8810039974155848,0.5,0.5,0.0,4.694174469207396e-05,-0.1905814857696552,0.017022562129647745,0.014023389355095544,0.03000264867135961
tiny_joint,encoder_predictor_joint_update,3072,32,aebb6d02ffe5ccbaa9dcadf3892b8f3d422041863774b55a34d63673287daa63,0.0017651876661340222,0.01910866851369506,0.04169452162530914,2.2678927039423513,0.047390913178029195,0.0311151276304188,0.6790196234120942,3.947633929637246,0.5,0.5,0.0,2.2454663533482966e-05,-0.0899792667961409,0.021534187753586155,0.018948462618534483,0.0430778448871368
tiny_joint,encoder_predictor_joint_update,3072,64,098bc8abf9ba05862722cf0099fd41a7f8b499ab463725b4f74114c109bf20d5,0.001986059576763197,0.008066031360585866,0.10963253147220067,2.125392348279958,0.024614413110998344,0.014090882857042356,0.7822533419766604,4.300716576823304,0.625,0.375,0.0,3.8244805319467425e-06,0.10639136754164684,0.023353801890819106,0.02065903240672504,0.04728102724104313
tiny_fixed,fixed_encoder_and_projector,3072,1,4ea5869ef2f1a92f89e11a61c0605d214380ca9061dce224fbe18dc94cbe3bee,0.04898179067533842,1.9402879610215729,0.014094199031377572,2.5676063833060394,0.6725714568569148,1.8927239482114047,0.20241386472766626,2.859805587175274,1.0,0.0,0.0,0.00011505962787548618,0.28097682150126324,0.0,0.0,0.006315836834141655
tiny_fixed,fixed_encoder_and_projector,3072,2,b6e536b4cb813ae29f45c49478e7a4b1001941991a289e2092d03fac243816d7,0.04898179067533842,1.9402879610215729,0.014094199031377572,2.5676063833060394,0.6725714568569148,1.8927239482114047,0.20241386472766626,2.859805587175274,0.875,0.25,0.125,0.00031772900411410754,0.32537652663403277,0.0,0.0,0.010907157274532644
tiny_fixed,fixed_encoder_and_projector,3072,4,66c038c74cd6829d5589c0f466b5cf0b8e154491ae99451d9b8917d9c3b72b7c,0.04898179067533842,1.9402879610215729,0.014094199031377572,2.5676063833060394,0.6725714568569148,1.8927239482114047,0.20241386472766626,2.859805587175274,0.0,1.0,0.0,0.0036415895005690083,0.5051743238911399,0.0,0.0,0.015693895314004305
tiny_fixed,fixed_encoder_and_projector,3072,8,daa248434a9e705f4b341b0de029b8104097a131e5f6907f7ff2b9135efe683c,0.04898179067533842,1.9402879610215729,0.014094199031377572,2.5676063833060394,0.6725714568569148,1.8927239482114047,0.20241386472766626,2.859805587175274,1.0,0.5,0.5,0.41981485516815514,0.8744180295543375,0.0,0.0,0.02593837045482625
tiny_fixed,fixed_encoder_and_projector,3072,16,23a62092c03928acd6f09e939f98ac2886f4d6b9b5159c80a644e2ec851744cf,0.04898179067533842,1.9402879610215729,0.014094199031377572,2.5676063833060394,0.6725714568569148,1.8927239482114047,0.20241386472766626,2.859805587175274,1.0,1.0,1.0,0.8022115710805118,0.9820713360761817,0.0,0.0,0.03742989035629592
tiny_fixed,fixed_encoder_and_projector,3072,32,1c20032a2036a3c0ef334f7f6bf550fe1ec374c0123b332a5a69a902465836fd,0.04898179067533842,1.9402879610215729,0.014094199031377572,2.5676063833060394,0.6725714568569148,1.8927239482114047,0.20241386472766626,2.859805587175274,1.0,1.0,1.0,0.7691613962069513,0.9941165531467497,0.0,0.0,0.04285359368554325
tiny_fixed,fixed_encoder_and_projector,3072,64,f2bd787145cca282bde3c6c05f18782f3af7bc4c0c15646943b529ca74e88409,0.04898179067533842,1.9402879610215729,0.014094199031377572,2.5676063833060394,0.6725714568569148,1.8927239482114047,0.20241386472766626,2.859805587175274,1.0,1.0,1.0,0.7487632462946561,0.9958402846160834,0.0,0.0,0.04488045415263777
formal_joint,encoder_predictor_joint_update,3072,1,f756b505d5ee0ecfeedef719a3dd01d362dc884ddc981974089e802cd23af592,0.0004917379956145056,0.20640876842794176,0.001356327960363505,2.9827823385132026,0.04085512645329459,0.188685133938881,0.12440904776435009,3.0043819884984613,0.5,0.5,0.0,3.955641631364583e-05,0.07228102584624839,0.025708112418864334,0.018762998922511202,0.05786119126127198
formal_joint,encoder_predictor_joint_update,3072,2,8a50b295823edb1f541add90374cbff57f222042e32647f692c8a56f38df5946,0.0003271400714275588,0.06198591723378881,0.0025682076477852103,2.211116658845286,0.009026572606168199,0.02398368827712579,0.18123780542529883,2.1711627517756904,0.5,0.5,0.0,2.82008853207672e-05,0.09630811028816554,0.03287225948187593,0.025599472956801192,0.07611595449929698
formal_joint,encoder_predictor_joint_update,3072,3,bfe71b9bc6b0a5da8f632b8148e03933c614ed24465d13231209258dfa709073,0.00040731614701670785,0.04215669963787783,0.004767032564822235,2.0315023710912206,0.008865858938824446,0.013334975787682272,0.31393957740866607,1.9569989036334594,0.125,1.0,0.125,3.603084255453056e-05,0.06460568551656914,0.03512532202784613,0.027985884520385175,0.08220021802948044
formal_joint,encoder_predictor_joint_update,3072,4,d446d0d19fa72b077f273f63c31ef25128f1a681b870f6819e5012f76e482dd6,0.0004234980529692758,0.03877208866716629,0.005362683186752218,2.0625679705578657,0.006555982399550608,0.01329562416445263,0.2310841072108528,2.2494339799155623,0.25,0.625,0.0,2.8133374679008115e-05,0.03721799059270665,0.035453196203236705,0.028320871404634275,0.08320845015821063
formal_fixed,fixed_encoder_and_projector,3072,1,1b55c0db2ccae2574f8fdb61e5ea7429652069dc5dd4fc3421710b61ef37ce0f,0.04898179067533842,1.9402879610215729,0.014094199031377572,2.5676063833060394,0.6725714568569148,1.8927239482114047,0.20241386472766626,2.859805587175274,1.0,1.0,1.0,0.6383590422584275,0.9100846120067456,0.0,0.0,0.07823960960249883
formal_fixed,fixed_encoder_and_projector,3072,2,f081900c051a84d0b17d052ddafd50f39cc67247cd10eb7dec0dd3736f9e2f10,0.04898179067533842,1.9402879610215729,0.014094199031377572,2.5676063833060394,0.6725714568569148,1.8927239482114047,0.20241386472766626,2.859805587175274,1.0,1.0,1.0,0.671969315603069,0.953084350549255,0.0,0.0,0.09228844900504227
formal_fixed,fixed_encoder_and_projector,3072,3,d8c8f339b77c1e8cc4289496070296ecc3f93ed22bd4079ceae2a6674ad374ea,0.04898179067533842,1.9402879610215729,0.014094199031377572,2.5676063833060394,0.6725714568569148,1.8927239482114047,0.20241386472766626,2.859805587175274,1.0,1.0,1.0,0.6736141371014923,0.9630606137252402,0.0,0.0,0.09741377979756285
formal_fixed,fixed_encoder_and_projector,3072,4,3766eace9efa4ffa026c7dd10fe2757050a4577e671cca14dbf049ebbae7bab5,0.04898179067533842,1.9402879610215729,0.014094199031377572,2.5676063833060394,0.6725714568569148,1.8927239482114047,0.20241386472766626,2.859805587175274,1.0,1.0,1.0,0.6681392204975534,0.9641142332517505,0.0,0.0,0.09823106590656534
formal_joint,encoder_predictor_joint_update,4096,1,4979bc8f4331e3af53f8dff12dca05556917255079fa0ccf8a34d46eadd7c2c2,0.0005465910889080323,0.22864547893115092,0.0014538432805153991,3.0439143556685724,0.03425836990783629,0.1376320357321052,0.14798319436627697,2.842811213034267,0.5,0.5,0.0,6.169594454828229e-05,-0.011725587997085368,0.02545565196892604,0.018417859061628142,0.05684737328705428
formal_joint,encoder_predictor_joint_update,4096,2,7fd1e2b4a34ce29f58ed51993a14ba546d3f9c64d3de4e25e0bd619c41166246,0.0003194941330416261,0.07025585539144343,0.0023641080374518383,2.503519367903905,0.013121176267054302,0.038698119240365925,0.18148559538500467,2.422506865626625,0.5,0.5,0.0,9.543571206745033e-05,0.13863835051685536,0.032549893152976725,0.02528250499063616,0.07461970426806244
formal_joint,encoder_predictor_joint_update,4096,3,760c554877df5aff790f2fb77224b6242e3e24dd86496ca1b7e3e361f7b0a090,0.00042147676285097705,0.054184290497330444,0.003992999217858788,2.352906633532268,0.010065383267475806,0.04003459965376067,0.13371109869313244,3.026845235201074,0.5,0.5,0.0,3.0211906160353797e-05,0.03434436719908948,0.03494762461373646,0.027764816730000468,0.0808530099498695
formal_joint,encoder_predictor_joint_update,4096,4,a7a1bbe06139d262efd4ca5699523b6a3ffe19b6a096ea5ab110c298221bf5b3,0.00045373660107585466,0.04830780165619023,0.004755731876859415,2.290942312010032,0.007388906803074246,0.03298241415651111,0.12115004702815324,3.3671103302381242,0.5,0.5,0.0,3.258097651193934e-05,-0.047428702173692494,0.03527547172643843,0.028118720277655926,0.08187004467090671
formal_fixed,fixed_encoder_and_projector,4096,1,8666e825aa8be18b20e7a6781f297c817221c645b5fddd49982b49e7fafcc40c,0.04898179067533842,1.9402879610215729,0.014094199031377572,2.5676063833060394,0.6725714568569148,1.8927239482114047,0.20241386472766626,2.859805587175274,1.0,1.0,1.0,0.6551093417087164,0.9127048429334892,0.0,0.0,0.07824241918486058
formal_fixed,fixed_encoder_and_projector,4096,2,9277f1a8cd627e8ca61739bce15d553dca3b07a6b12228a9358f9641fd43fe58,0.04898179067533842,1.9402879610215729,0.014094199031377572,2.5676063833060394,0.6725714568569148,1.8927239482114047,0.20241386472766626,2.859805587175274,1.0,1.0,1.0,0.6634532724709814,0.9517724549528835,0.0,0.0,0.09216279845385505
