family,training_mode,training_method,seed,epoch,checkpoint_sha256,raw_paired_target_mse,raw_paired_to_unrelated_ratio,raw_global_variance,raw_effective_rank,projected_paired_target_mse,projected_paired_to_unrelated_ratio,projected_global_variance,projected_effective_rank,passable_history_accuracy,blocked_history_accuracy,correct_rule_switch_rate,prediction_pair_mse,difference_alignment_cosine,encoder_parameter_drift,projector_parameter_drift,predictor_parameter_drift
original,original_h3,lewm,3072,0,7d141b86cca49145444a69bff89c71ede69e8cf8252bfb933e656c3e2e962b54,0.04884736471890523,1.9402897093540252,0.014056690642498098,2.567062425194635,0.6716018217702773,1.8921927319499916,0.20201215867436928,2.857538690246299,0.875,0.125,0.0,0.0007083230008689348,0.033101894552384936,0.0,0.0,0.0
candidate_joint,encoder_predictor_joint_update,lewm,3072,1,2fa24689b5a45b34b2075eaf2edf674a81fe020b6df301141a44c96bbe8a1758,0.005831762524640263,1.231649461741907,0.002722081657544987,3.790994408390251,0.9589552374519605,1.2665684921814941,0.4267668003427858,4.0041906029275305,0.5,0.5,0.0,0.0028558375119503874,0.6854244365265281,0.022167479331699165,0.018817775645443565,0.07408075210535209
candidate_joint,encoder_predictor_joint_update,lewm,3072,2,f2b863291dd127147426696f8e260545c2696e3de557dd8755327f04d4e37308,0.005249341683902058,1.154926153233299,0.0025425384626520907,3.55689659781824,0.8566051259263123,1.1007109493854423,0.4627887945073437,3.8935457530795343,0.625,0.75,0.375,0.024289214930044545,0.42586296744165497,0.027304450162714433,0.02569020973134654,0.09520624998375175
candidate_joint,encoder_predictor_joint_update,lewm,3072,3,70a6ed71230db26832bf80379e308ca952fc266b6dd3d3b4b66aaa203bc8b210,0.006557078374945725,1.0212783563969476,0.00349756715799899,3.599389965082259,0.889294092831328,1.136682621421298,0.4415065644371703,4.426069830514358,1.0,1.0,1.0,0.38606515673527764,0.8603160270361985,0.028932990455023986,0.028415071355906367,0.10144423782759927
candidate_joint,encoder_predictor_joint_update,lewm,3072,4,787cfcb74bfe1c7139cc8a277b1065e0e524cf36298fc0f48d79180171795db8,0.006833950473252514,1.0698032776824316,0.0035010125048880627,3.5039241025163546,0.8753177486451206,1.1974704912446668,0.41165845154582537,4.421858558720717,1.0,1.0,1.0,0.8014367147619705,0.9481942306464086,0.02908286807360504,0.028768714457861926,0.10241866340386271
